objectid,filename,title,creator,description,subject,latitude,longitude,type,format
coll001,McMichael2.mp3,The Growth & Development of the McMichael Art Collection,"Qashoa, Nada; Spagnuolo, Alessia","In this podcast, we will be exploring the history of the McMichael Canadian Art Collection in Kleinburg, Ontario. The main topics discussed in this podcast include how the museum defines what is Canadian art, how this definition has changed over the years, and how this notion of nationality has affected the types of exhibits produced.",Podcast,43.84353247,-79.61642469,Sound,audio/mp3
coll002,20231103_121453.jpg,McMichael Front Entrance ,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll003,IMG_9654.jpg,Entrance Interior,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll004,20231103_121703.jpg,Exhibit 1,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll005,IMG_9658.jpg,Exhibit 2,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll006,IMG_9660.jpg,Exhibit 3,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll007,IMG_9661.jpg,Exhibit 4,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll008,IMG_9662.jpg,Exhibit 5,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll009,IMG_9613.jpg,Exhibit 6,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll010,IMG_9670.jpg,Exhibit 7,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll011,IMG_9667.jpg,Exhibit 8,"Qashoa, Nada; Spagnuolo, Alessia",,Gallery Overview,,,Image;StillImage,image/jpeg
coll012,20231103_122222.jpg,Totem Pole,"Qashoa, Nada; Spagnuolo, Alessia",Sacred Indigenous totem pole discussed in the podcast.,Indigenous Artifact,,,Image;StillImage,image/jpeg
coll013,20231103_110352.jpg,Selected Painting 1,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll014,20231103_112329.jpg,Selected Painting 2,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll015,IMG_9589.jpg,Selected Painting 3,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll016,IMG_9611.jpg,Selected Painting 4,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll017,IMG_9592.jpg,Selected Painting 5,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll018,IMG_9586.jpg,Selected Painting 6,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll019,20231103_111334.jpg,Selected Painting 7,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll020,20231103_110156.jpg,Selected Painting 8,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll021,20231103_111216.jpg,Selected Painting 9,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll022,20231103_111626.jpg,Selected Painting 10,"Qashoa, Nada; Spagnuolo, Alessia",,Painting,,,Image;StillImage,image/jpeg
coll023,20231103_114754.jpg,Outdoors 1,"Qashoa, Nada; Spagnuolo, Alessia",,Nature,,,Image;StillImage,image/jpeg
coll024,20231103_114837.jpg,Outdoors 2,"Qashoa, Nada; Spagnuolo, Alessia",,Nature,,,Image;StillImage,image/jpeg
coll025,20231103_115141.jpg,Outdoors 3,"Qashoa, Nada; Spagnuolo, Alessia",,Nature,,,Image;StillImage,image/jpeg
coll026,20231103_115228(0).jpg,Outdoors 4,"Qashoa, Nada; Spagnuolo, Alessia",,Nature,,,Image;StillImage,image/jpeg
coll027,20231103_120523.jpg,Outdoors 5,"Qashoa, Nada; Spagnuolo, Alessia",,Nature,,,Image;StillImage,image/jpeg
coll028,IMG_9644.jpg,Outdoors 6,"Qashoa, Nada; Spagnuolo, Alessia",,Nature,,,Image;StillImage,image/jpeg
